time	V(n001)	V(n002)
4.558984375000001e-004	1.000000e+000	3.923764e-001
4.578515625000001e-004	1.000000e+000	3.946378e-001
4.598046875000001e-004	1.000000e+000	3.991403e-001
4.617578125000002e-004	1.000000e+000	4.058236e-001
4.637109375000002e-004	1.000000e+000	4.146203e-001
4.656640625000002e-004	1.000000e+000	4.254563e-001
4.676171875000002e-004	1.000000e+000	4.382515e-001
4.695703125000002e-004	1.000000e+000	4.529195e-001
4.715234375000002e-004	1.000000e+000	4.693690e-001
4.734765625000002e-004	1.000000e+000	4.875033e-001
4.754296875000002e-004	1.000000e+000	5.072214e-001
4.773828125000002e-004	1.000000e+000	5.284184e-001
4.812890625000002e-004	1.000000e+000	5.748114e-001
4.851953125000002e-004	1.000000e+000	6.257797e-001
4.891015625000002e-004	1.000000e+000	6.803869e-001
4.930078125000002e-004	1.000000e+000	7.376780e-001
4.969140625000002e-004	1.000000e+000	7.966945e-001
5.008203125000002e-004	1.000000e+000	8.564890e-001
5.047265625000002e-004	1.000000e+000	9.161384e-001
5.080468750000001e-004	1.000000e+000	9.660969e-001
5.100000000000000e-004	1.000000e+000	9.950117e-001
5.114285714285714e-004	8.571429e-001	8.744237e-001
5.128571428571429e-004	7.142857e-001	7.552294e-001
5.142857142857143e-004	5.714286e-001	6.374290e-001
5.157142857142858e-004	4.285714e-001	5.210223e-001
5.171428571428572e-004	2.857143e-001	4.060094e-001
5.185714285714287e-004	1.428571e-001	2.923903e-001
5.200000000000001e-004	1.554312e-015	1.801650e-001
5.223716517857144e-004	8.189514e-016	2.313369e-001
5.247433035714287e-004	2.546960e-016	2.796060e-001
5.271149553571430e-004	-1.384541e-016	3.249722e-001
5.294866071428572e-004	-3.604987e-016	3.674355e-001
5.318582589285715e-004	-4.114379e-016	4.069959e-001
5.342299107142858e-004	-2.912716e-016	4.436535e-001
5.366015625000001e-004	0.000000e+000	4.774081e-001
5.405078125000001e-004	0.000000e+000	5.247269e-001
5.444140625000001e-004	0.000000e+000	5.623968e-001
5.483203125000001e-004	0.000000e+000	5.902244e-001
5.522265625000001e-004	0.000000e+000	6.081709e-001
5.541796875000001e-004	0.000000e+000	6.134674e-001
5.561328125000001e-004	0.000000e+000	6.163462e-001
5.580859375000001e-004	0.000000e+000	6.168432e-001
5.600390625000001e-004	0.000000e+000	6.150024e-001
5.619921875000001e-004	0.000000e+000	6.108761e-001
5.639453125000001e-004	0.000000e+000	6.045239e-001
5.658984375000001e-004	0.000000e+000	5.960128e-001
5.678515625000001e-004	0.000000e+000	5.854167e-001
5.698046875000001e-004	0.000000e+000	5.728158e-001
5.717578125000001e-004	0.000000e+000	5.582966e-001
5.737109375000001e-004	0.000000e+000	5.419507e-001
5.756640625000001e-004	0.000000e+000	5.238752e-001
5.776171875000001e-004	0.000000e+000	5.041718e-001
5.795703125000001e-004	0.000000e+000	4.829463e-001
5.815234375000001e-004	0.000000e+000	4.603083e-001
5.834765625000001e-004	0.000000e+000	4.363703e-001
5.854296875000001e-004	0.000000e+000	4.112480e-001
5.873828125000001e-004	0.000000e+000	3.850590e-001
5.893359375000001e-004	0.000000e+000	3.579227e-001
5.932421875000001e-004	0.000000e+000	3.012923e-001
5.971484375000001e-004	0.000000e+000	2.423712e-001
6.000000000000001e-004	0.000000e+000	1.983996e-001
6.014285714285714e-004	1.428571e-001	3.174477e-001
6.028571428571429e-004	2.857143e-001	4.347818e-001
6.042857142857143e-004	4.285714e-001	5.504020e-001
6.057142857142858e-004	5.714286e-001	6.643082e-001
6.071428571428572e-004	7.142857e-001	7.765004e-001
6.085714285714287e-004	8.571429e-001	8.869787e-001
6.100000000000001e-004	1.000000e+000	9.957430e-001
6.129296875000001e-004	1.000000e+000	9.241333e-001
6.158593750000001e-004	1.000000e+000	8.562835e-001
6.187890625000001e-004	1.000000e+000	7.921938e-001
6.217187500000001e-004	1.000000e+000	7.318640e-001
6.246484375000001e-004	1.000000e+000	6.752942e-001
6.275781250000001e-004	1.000000e+000	6.224843e-001
6.305078125000001e-004	1.000000e+000	5.734344e-001
6.324609375000001e-004	1.000000e+000	5.441707e-001
6.344140625000001e-004	1.000000e+000	5.171930e-001
6.363671875000001e-004	1.000000e+000	4.925587e-001
6.383203125000001e-004	1.000000e+000	4.703158e-001
6.402734375000001e-004	1.000000e+000	4.505018e-001
6.422265625000001e-004	1.000000e+000	4.331446e-001
6.441796875000001e-004	1.000000e+000	4.182623e-001
6.461328125000001e-004	1.000000e+000	4.058632e-001
6.480859375000001e-004	1.000000e+000	3.959461e-001
6.500390625000001e-004	1.000000e+000	3.885005e-001
6.519921875000001e-004	1.000000e+000	3.835067e-001
6.539453125000001e-004	1.000000e+000	3.809362e-001
6.558984375000001e-004	1.000000e+000	3.807519e-001
6.578515625000001e-004	1.000000e+000	3.829083e-001
6.598046875000001e-004	1.000000e+000	3.873521e-001
6.617578125000001e-004	1.000000e+000	3.940223e-001
6.637109375000001e-004	1.000000e+000	4.028508e-001
6.656640625000001e-004	1.000000e+000	4.137624e-001
6.676171875000001e-004	1.000000e+000	4.266758e-001
6.695703125000001e-004	1.000000e+000	4.415034e-001
6.715234375000001e-004	1.000000e+000	4.581525e-001
6.734765625000001e-004	1.000000e+000	4.765249e-001
6.754296875000001e-004	1.000000e+000	4.965179e-001
6.773828125000001e-004	1.000000e+000	5.180249e-001
6.812890625000002e-004	1.000000e+000	5.651358e-001
6.851953125000002e-004	1.000000e+000	6.169389e-001
6.891015625000002e-004	1.000000e+000	6.724811e-001
6.930078125000002e-004	1.000000e+000	7.307894e-001
6.969140625000002e-004	1.000000e+000	7.908872e-001
7.008203125000002e-004	1.000000e+000	8.518082e-001
7.047265625000002e-004	1.000000e+000	9.126110e-001
7.080468750000001e-004	1.000000e+000	9.635574e-001
7.100000000000000e-004	1.000000e+000	9.930525e-001
7.114285714285714e-004	8.571429e-001	8.728877e-001
7.128571428571429e-004	7.142857e-001	7.541120e-001
7.142857142857143e-004	5.714286e-001	6.367256e-001
7.157142857142858e-004	4.285714e-001	5.207285e-001
7.171428571428572e-004	2.857143e-001	4.061206e-001
7.185714285714287e-004	1.428571e-001	2.929019e-001
7.200000000000001e-004	1.554312e-015	1.810725e-001
7.223716517857144e-004	8.189514e-016	2.328844e-001
7.247433035714287e-004	2.546960e-016	2.817640e-001
7.271149553571430e-004	-1.384541e-016	3.277111e-001
7.294866071428572e-004	-3.604987e-016	3.707258e-001
7.318582589285715e-004	-4.114379e-016	4.108080e-001
7.342299107142858e-004	-2.912716e-016	4.479578e-001
7.366015625000001e-004	0.000000e+000	4.821753e-001
7.405078125000001e-004	0.000000e+000	5.301640e-001
7.444140625000001e-004	0.000000e+000	5.683970e-001
7.483203125000001e-004	0.000000e+000	5.966767e-001
7.522265625000001e-004	0.000000e+000	6.149614e-001
